"Date","Open","High","Low","Close","TotalVolume"
2016/1/4,142.50,143.50,139.00,139.50,39199
2016/1/5,139.00,140.00,137.00,138.00,46487
2016/1/6,138.00,138.00,135.00,135.50,53651
2016/1/7,134.50,135.00,130.50,133.00,62564
2016/1/8,132.00,135.00,132.00,134.00,50144
2016/1/11,133.00,134.50,130.50,133.00,48402
2016/1/12,133.00,134.00,131.50,133.00,34718
2016/1/13,133.50,135.50,133.00,133.50,37727
2016/1/14,130.50,132.00,130.50,131.50,39363
2016/1/15,137.50,138.00,135.50,137.00,79492
2016/1/18,135.00,138.00,134.50,137.00,36768
2016/1/19,137.50,138.00,136.00,138.00,23780
2016/1/20,137.50,137.50,133.50,134.50,43923
2016/1/21,134.00,136.50,134.00,135.00,31947
2016/1/22,136.50,138.50,136.00,138.50,33909
2016/1/25,140.00,140.00,139.00,139.50,27195
2016/1/26,137.50,139.00,137.00,137.50,24088
2016/1/27,139.00,139.50,138.50,139.50,24035
2016/1/28,138.00,140.50,138.00,140.00,37888
2016/1/29,138.50,143.00,138.00,143.00,55645
2016/1/30,142.50,143.00,141.00,142.00,11851
2016/2/1,144.00,144.00,141.50,144.00,40956
2016/2/2,144.00,144.50,141.50,142.50,25387
2016/2/3,145.00,146.00,144.50,146.00,71509
2016/2/15,142.00,146.50,142.00,145.00,72906
2016/2/16,146.00,148.00,145.50,147.50,55016
2016/2/17,149.00,149.00,147.00,148.00,38462
2016/2/18,150.00,151.00,149.50,151.00,61708
2016/2/19,149.00,151.00,149.00,151.00,35679
2016/2/22,149.50,152.50,149.50,151.00,27038
2016/2/23,150.50,151.00,149.00,149.50,22330
2016/2/24,149.50,150.50,147.00,148.00,22059
2016/2/25,149.00,151.00,148.50,150.50,25203
2016/2/26,151.00,151.50,148.00,149.00,37685
2016/3/1,148.50,152.00,148.50,152.00,38638
2016/3/2,154.00,154.50,153.00,153.00,36063
2016/3/3,154.00,154.50,153.00,154.00,28835
2016/3/4,153.00,153.50,151.50,152.50,32805
2016/3/7,152.50,153.50,151.00,152.00,23916
2016/3/8,151.00,152.00,149.50,152.00,35701
2016/3/9,152.00,153.00,150.50,153.00,24228
2016/3/10,153.00,154.50,151.50,154.50,28314
2016/3/11,154.50,155.00,153.00,155.00,29588
2016/3/14,156.50,157.50,155.50,156.00,32780
2016/3/15,155.00,156.50,153.00,154.50,28720
2016/3/16,155.50,156.00,154.00,156.00,31094
2016/3/17,159.50,160.00,157.50,158.50,48225
2016/3/18,158.50,159.50,158.50,159.50,56103
2016/3/21,160.00,160.00,158.00,160.00,26178
2016/3/22,159.50,159.50,157.00,158.50,25837
2016/3/23,158.50,159.50,158.00,159.50,27484
2016/3/24,158.00,159.00,157.00,158.50,24871
2016/3/25,158.50,159.00,157.00,158.00,10180
2016/3/28,158.00,159.00,157.00,159.00,15291
2016/3/29,158.50,159.50,158.00,159.00,19038
2016/3/30,158.50,162.00,158.50,161.50,43665
2016/3/31,162.00,163.00,159.00,162.00,49442
2016/4/1,161.00,161.00,157.50,158.50,31583
2016/4/6,155.50,156.00,153.50,153.50,58195
2016/4/7,155.00,155.00,152.50,154.50,35260
2016/4/8,154.00,158.00,154.00,157.50,41046
2016/4/11,156.00,159.00,155.50,158.50,21773
2016/4/12,157.50,159.50,157.50,158.50,14864
2016/4/13,160.00,162.00,159.50,161.50,39786
2016/4/14,162.00,162.50,160.00,161.50,31346
2016/4/15,157.00,160.00,156.00,159.50,48817
2016/4/18,158.00,158.50,157.50,158.00,20299
2016/4/19,160.00,161.00,157.00,157.50,26601
2016/4/20,157.50,158.00,154.00,154.00,41026
2016/4/21,156.00,157.00,154.00,157.00,29729
2016/4/22,155.50,158.00,155.00,156.50,29012
2016/4/25,156.50,157.50,156.00,157.50,14355
2016/4/26,156.50,158.50,156.50,158.00,18166
2016/4/27,156.00,157.50,155.50,156.50,28853
2016/4/28,157.50,158.00,153.00,153.00,48938
2016/4/29,151.00,151.00,149.00,150.00,66480
2016/5/3,148.00,148.50,146.50,147.50,68578
2016/5/4,147.00,149.00,146.50,147.00,52989
2016/5/5,147.50,148.50,146.00,147.50,38315
2016/5/6,148.50,148.50,147.00,148.00,36528
2016/5/9,148.50,149.00,146.50,147.50,38485
2016/5/10,147.00,148.00,146.50,147.00,29804
2016/5/11,148.50,149.00,146.50,147.00,40083
2016/5/12,147.00,148.00,146.00,146.00,23793
2016/5/13,145.00,145.50,143.00,144.00,60176
2016/5/16,143.00,145.50,143.00,144.50,31135
2016/5/17,145.50,147.00,145.00,147.00,30285
2016/5/18,146.00,147.00,145.00,147.00,31091
2016/5/19,148.00,148.50,145.50,147.00,35180
2016/5/20,147.50,149.50,147.00,148.50,36328
2016/5/23,150.50,154.50,149.50,154.00,50149
2016/5/24,152.50,153.50,151.00,151.00,24492
2016/5/25,153.50,155.00,152.50,154.50,30744
2016/5/26,154.50,155.00,153.50,155.00,17232
2016/5/27,156.00,156.50,154.50,156.50,23011
2016/5/30,157.00,158.00,155.00,157.00,36361
2016/5/31,156.50,157.50,155.00,156.50,69667
2016/6/1,156.00,159.00,156.00,159.00,26928
2016/6/2,159.00,160.00,158.00,159.00,21978
2016/6/3,159.00,160.50,159.00,160.50,31889
2016/6/4,160.00,160.00,159.50,160.00,2614
2016/6/6,161.00,162.00,160.00,161.00,28767
2016/6/7,161.50,163.50,161.00,162.00,47071
2016/6/8,164.00,166.00,163.50,165.50,45271
2016/6/13,161.00,162.50,161.00,162.00,48763
2016/6/14,161.00,163.00,161.00,162.00,27526
2016/6/15,162.00,163.00,161.00,163.00,29308
2016/6/16,161.50,162.50,159.50,160.50,24435
2016/6/17,162.50,164.50,162.00,163.00,30658
